"Date","Price","Open","High","Low","Vol.","Change %"
"08/29/2018","7,584.89","7,591.35","7,591.35","7,582.63","","0.07%"
"08/28/2018","7,579.70","7,576.18","7,579.70","7,569.20","","0.80%"
"08/27/2018","7,519.64","7,510.14","7,519.64","7,508.54","","1.12%"
"08/24/2018","7,436.26","7,427.64","7,436.60","7,427.15","","0.22%"
"08/23/2018","7,420.24","7,426.37","7,427.01","7,419.37","","0.51%"
"08/22/2018","7,382.70","7,388.36","7,388.36","7,382.66","","-0.09%"
"08/21/2018","7,389.25","7,386.91","7,390.88","7,386.81","","0.01%"
"08/20/2018","7,388.85","7,388.13","7,390.27","7,385.25","","0.45%"
"08/17/2018","7,355.85","7,359.52","7,363.52","7,354.82","","-0.65%"
"08/16/2018","7,404.26","7,400.35","7,404.52","7,395.55","","0.07%"
"08/15/2018","7,398.76","7,404.86","7,408.11","7,398.56","","-0.38%"
"08/14/2018","7,427.29","7,426.37","7,430.15","7,424.90","","0.16%"
"08/13/2018","7,415.31","7,410.60","7,418.96","7,409.72","","-0.13%"
"08/10/2018","7,424.84","7,431.16","7,433.59","7,423.52","","-0.53%"
"08/09/2018","7,464.76","7,457.72","7,465.21","7,456.28","","0.17%"
"08/08/2018","7,451.82","7,457.61","7,457.61","7,448.19","","-0.07%"
"08/07/2018","7,457.24","7,455.07","7,457.24","7,452.49","","0.84%"
"08/06/2018","7,395.00","7,400.82","7,401.00","7,394.98","","0.12%"
"08/03/2018","7,386.21","7,391.28","7,391.53","7,381.21","","2.17%"
"08/02/2018","7,229.57","7,243.93","7,245.81","7,229.57","","-0.64%"
"08/01/2018","7,275.99","7,274.72","7,278.52","7,265.88","","0.73%"
"07/31/2018","7,222.91","7,216.53","7,223.99","7,209.37","","-0.95%"
"07/30/2018","7,292.47","7,298.92","7,303.55","7,292.47","","-2.03%"
"07/27/2018","7,443.56","7,437.58","7,445.62","7,437.58","","0.52%"
"07/26/2018","7,404.72","7,391.72","7,404.72","7,378.04","","-0.04%"
"07/25/2018","7,407.47","7,403.01","7,407.47","7,401.91","","-0.54%"
"07/24/2018","7,447.94","7,439.41","7,447.94","7,439.41","","1.47%"
"07/23/2018","7,340.36","7,342.38","7,347.98","7,340.36","","-0.66%"
"07/20/2018","7,389.08","7,386.40","7,389.08","7,373.67","","0.20%"
"07/19/2018","7,374.01","7,372.92","7,374.56","7,366.33","","-0.52%"
"07/18/2018","7,412.85","7,406.43","7,413.88","7,404.28","","1.59%"
"07/17/2018","7,297.18","7,314.78","7,318.62","7,296.75","","-1.19%"
"07/16/2018","7,385.42","7,385.43","7,387.22","7,382.54","","0.20%"
